"日期","收盘","开盘","高","低","涨跌幅"
"2011年1月26日","0.9952","0.9967","0.9984","0.9933","-0.14%"
"2011年1月25日","0.9966","0.9936","1.0006","0.9907","0.29%"
"2011年1月24日","0.9937","0.9936","0.9983","0.9915","-0.03%"
"2011年1月21日","0.9940","0.9971","0.9990","0.9905","-0.28%"
"2011年1月20日","0.9968","0.9959","1.0032","0.9948","0.11%"
"2011年1月19日","0.9957","0.9914","0.9967","0.9886","0.34%"
"2011年1月18日","0.9923","0.9872","0.9939","0.9831","0.54%"
"2011年1月17日","0.9870","0.9882","0.9903","0.9854","-0.25%"
"2011年1月14日","0.9895","0.9895","0.9978","0.9884","0.05%"
"2011年1月13日","0.9890","0.9862","0.9911","0.9853","0.30%"
"2011年1月12日","0.9860","0.9901","0.9913","0.9844","-0.41%"
"2011年1月11日","0.9901","0.9932","0.9951","0.9890","-0.29%"
"2011年1月10日","0.9930","0.9930","0.9985","0.9910","0.17%"
"2011年1月7日","0.9913","0.9967","1.0005","0.9897","-0.56%"
"2011年1月6日","0.9969","0.9966","0.9995","0.9918","0.06%"
"2011年1月5日","0.9963","0.9985","1.0023","0.9930","-0.27%"
"2011年1月4日","0.9990","0.9937","1.0034","0.9912","0.56%"
"2011年1月3日","0.9934","0.9950","0.9951","0.9886","-0.36%"
"2010年12月31日","0.9970","1.0002","1.0009","0.9925","-0.29%"
"2010年12月30日","0.9999","1.0008","1.0025","0.9970","-0.07%"
"2010年12月29日","1.0006","1.0007","1.0057","0.9969","-0.05%"
"2010年12月28日","1.0011","1.0068","1.0073","0.9974","-0.59%"
"2010年12月27日","1.0070","1.0083","1.0114","1.0019","-0.08%"
"2010年12月24日","1.0078","1.0090","1.0116","1.0048","-0.17%"
"2010年12月23日","1.0095","1.0134","1.0168","1.0056","-0.39%"
"2010年12月22日","1.0135","1.0164","1.0179","1.0109","-0.37%"
"2010年12月21日","1.0173","1.0170","1.0208","1.0145","0.01%"
"2010年12月20日","1.0172","1.0123","1.0211","1.0098","0.37%"
"2010年12月17日","1.0134","1.0063","1.0145","1.0037","0.77%"
"2010年12月16日","1.0057","1.0044","1.0076","1.0027","0.15%"
"2010年12月15日","1.0042","1.0065","1.0097","0.9999","-0.25%"
"2010年12月14日","1.0067","1.0084","1.0111","1.0027","-0.15%"
"2010年12月13日","1.0082","1.0102","1.0110","1.0025","-0.16%"
"2010年12月10日","1.0098","1.0103","1.0116","1.0079","-0.07%"
"2010年12月9日","1.0105","1.0111","1.0130","1.0066","-0.07%"
"2010年12月8日","1.0112","1.0123","1.0142","1.0060","-0.08%"
"2010年12月7日","1.0120","1.0057","1.0122","1.0008","0.69%"
"2010年12月6日","1.0051","1.0039","1.0085","1.0022","0.13%"
"2010年12月3日","1.0038","1.0027","1.0082","0.9999","0.00%"
"2010年12月2日","1.0038","1.0176","1.0193","1.0028","-1.28%"
"2010年12月1日","1.0168","1.0265","1.0272","1.0139","-0.94%"
"2010年11月30日","1.0265","1.0181","1.0288","1.0170","0.83%"
"2010年11月29日","1.0180","1.0163","1.0259","1.0163","-0.24%"
"2010年11月26日","1.0204","1.0093","1.0246","1.0082","1.05%"
"2010年11月25日","1.0098","1.0109","1.0127","1.0063","-0.13%"
"2010年11月24日","1.0111","1.0244","1.0251","1.0092","-1.20%"
"2010年11月23日","1.0234","1.0194","1.0268","1.0167","0.48%"
"2010年11月22日","1.0185","1.0167","1.0218","1.0110","0.06%"
"2010年11月19日","1.0179","1.0196","1.0236","1.0154","-0.25%"
"2010年11月18日","1.0204","1.0248","1.0250","1.0152","-0.49%"
"2010年11月17日","1.0254","1.0219","1.0262","1.0178","0.40%"
"2010年11月16日","1.0213","1.0096","1.0256","1.0066","1.18%"
"2010年11月15日","1.0094","1.0113","1.0141","1.0053","0.03%"
"2010年11月12日","1.0091","1.0029","1.0147","1.0025","0.60%"
"2010年11月11日","1.0031","1.0004","1.0075","0.9974","0.29%"
"2010年11月10日","1.0002","1.0076","1.0093","0.9992","-0.69%"
"2010年11月9日","1.0072","1.0036","1.0095","0.9974","0.37%"
"2010年11月8日","1.0035","1.0003","1.0057","0.9992","0.31%"
"2010年11月5日","1.0004","1.0027","1.0082","0.9989","-0.21%"
"2010年11月4日","1.0025","1.0048","1.0122","1.0008","-0.25%"
"2010年11月3日","1.0050","1.0091","1.0156","1.0046","-0.35%"
"2010年11月2日","1.0085","1.0156","1.0159","1.0080","-0.74%"
